ref,title,year,source,selection_criteria,status,display,input,interaction,collaboration,model,size,doi
,Understanding file access mechanisms for embedded Ubicomp collaboration interfaces,2009,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Colaboração presencial,,46”,10.1145/1620545.1620567
,Supporting casual interactions between board games on public tabletop displays and mobile devices,2009,Scopus,Study describing digital tabletop techniques,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,,,10.1007/s00779-009-0246-3
,FeelSound: interactive acoustic music making,2009,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1690388.1690497
,Actions speak loudly with words: Unpacking collaboration around the table,2009,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1731903.1731939
,Exploring tangible and direct touch interfaces for manipulating 2D and 3D information on a digital table,2009,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,Rear-Projected,Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Colaboração presencial,,72”,10.1145/1731903.1731921
,Getting sidetracked: Display design and occasioning photo-talk with the photohelix,2009,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Pen, Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,,,10.1145/1518701.1518967
,ThinSight: a thin form-factor interactive surface technology,2009,ACM Digital Library,Study describing digital tabletop techniques,Accepted,Embedded,Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Usuário único,,,10.1145/1610252.1610277
,Tangible optical chess: a laser strategy game on an interactive tabletop,2009,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,Sensor-Assisted-Vision-Based,"Multi-touch, Tangibility, Touch",Colaboração presencial,TTT (Tangible Tracking Table),,10.1145/1551788.1551855
,Bonfire: a nomadic system for hybrid laptop-tabletop interaction,2009,ACM Digital Library,Study describing digital tabletop techniques,Accepted,Front-Projected,Vision-Based,"Gesture, Multi-touch, Tangibility, Touch",Usuário único,,,10.1145/1622176.1622202
,Balancing Skills to Optimize Fun in Interactive Board Games,2009,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,Tangible-Tokens,Tangibility,Colaboração presencial,Edutainment Sensor Platform (ESP),,10.1007/978-3-642-03655-2_35
,RoboTable: a tabletop framework for tangible interaction with robots in a mixed reality,2009,ACM Digital Library,Study describing digital tabletop techniques,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,,,10.1145/1690388.1690407
,New Human-Computer Interactions Using Tangible Objects: Application on a Digital Tabletop with RFID Technology,2009,Springer Link,Study describing digital tabletop techniques,Accepted,Rear-Projected,Sensor-Assisted-Vision-Based,"Multi-touch, Tangibility, Touch",Colaboração presencial,TTT (Tangible Tracking Table),,10.1007/978-3-642-02580-8_49
,The Collaborative Workspace: A Co-located Tabletop Device to Support Meetings,2009,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Pen,Tangibility,Colaboração presencial,,,10.1007/978-1-84882-054-8_17
,Investigating Temporal-Spatial Characteristics of Mouse and Touch Input,2009,Springer Link,Study evaluating digital tabletop techniques,Accepted,Embedded,Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,[braccetto] research platform,46’’,10.1007/978-3-642-03655-2_72
,Fighting for control: children's embodied interactions when using physical and digital representations,2009,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1518701.1519027
,Analysis of natural gestures for controlling robot teams on multi-touch tabletop surfaces,2009,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1731903.1731912
,Tabletop concept mapping,2009,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,,,10.1145/1517664.1517721
,Is the Writing on the Wall for Tabletops?,2009,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1007/978-3-642-03658-3_17
,Analyzing Multimodal Communication around a Shared Tabletop Display,2009,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1007/978-1-84882-854-4_17
,Tabletop displays for small group study: affordances of paper and digital materials,2009,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1518701.1518885
,Children designing together on a multi-touch tabletop: an analysis of spatial orientation and user interactions,2009,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1551788.1551807
,PhotoelasticTouch: transparent rubbery tangible interface using an LCD and photoelasticity,2009,ACM Digital Library,Study describing digital tabletop techniques,Accepted,Embedded,Vision-Based,"Multi-touch, Touch",Colaboração presencial,,,10.1145/1622176.1622185
,The design of a collaborative interface for narration to support reconciliation in a conflict,2009,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1007/s00146-009-0197-2
,Turning the tables: an interactive surface for vjing,2009,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Colaboração presencial,,,10.1145/1518701.1518888
,Nervixxx: A Video Performance System with Neural Interfaces,2009,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,Rear-Projected,"Tangible-Tokens, Wearables",Tangibility,Usuário único,,,10.1109/ACHI.2009.63
,Territorial coordination and workspace awareness in remote tabletop collaboration,2009,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Pen,Tangibility,Colaboração presencial,,,10.1145/1518701.1519026
,WebSurface: an interface for co-located collaborative information gathering,2009,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Pen,Tangibility,Colaboração presencial,,48”,10.1145/1731903.1731938
,Collaborative Practices that Support Creativity in Design,2009,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”,10.1007/978-1-84882-854-4_9
,Using Digital Tabletops to Support Distributed Agile Planning Meetings,2009,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,SMART Board,,10.1007/978-3-642-01853-4_59
,SLAP widgets: bridging the gap between virtual and physical controls on tabletops,2009,ACM Digital Library,Study describing digital tabletop techniques,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility, Touch",Colaboração presencial,,,10.1145/1520340.1520462
,TinkerSheets: using paper forms to control and visualize tangible simulations,2009,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,TinkerTable,,10.1145/1517664.1517740
,Construction defect management using a telematic digital workbench,2009,Science@Direct,Study describing digital tabletop techniques,Accepted,Rear-Projected,Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,SMART Board,,10.1016/j.autcon.2009.03.005
,A tangible user interface for assessing cognitive mapping ability,2009,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,"Tangible-Tokens, Vision-Based",Tangibility,Usuário único,,,10.1016/j.ijhcs.2008.09.014
,Around the table: are multiple-touch surfaces better than single-touch for children's collaborative interactions?,2009,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,
,Paper-based concept map: the effects of tabletop on an expressive collaborative learning task,2009,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,"Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,,50”,
,Physical space and division of labor around a tabletop tangible simulation,2009,ACM Digital Library,Study describing digital tabletop techniques,Accepted,Front-Projected,"Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,,,
,Songexplorer: A tabletop application for exploring large collections of songs,2009,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,,,
,A slim tabletop interface based on high resolution LCD screens with multiple cameras,2010,Scopus,Study describing digital tabletop techniques,Accepted,Embedded,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,,,10.1145/1936652.1936696
,Investigation of fingertip blobs on optical multi-touch screen,2010,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,,,10.1109/ITSIM.2010.5561307
,Design and implementation of multi-touch system using FTIR technique for optimization of finger touch detection,2010,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,Rear-Projected,Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Colaboração presencial,,,10.1109/ITSIM.2010.5561308
,Reactoon: Storytelling in a Tangible Environment,2010,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,,,10.1109/DIGITEL.2010.28
,Futura: design for collaborative learning and game play on a multi-touch digital tabletop,2010,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Colaboração presencial,,48”,10.1145/1935701.1935721
,Sketched menu: A tabletop-menu technique for GUI object creation,2010,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”,10.1145/1822018.1822031
,"Gestures as a ""creation"" mechanism for tabletop interfaces",2010,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”,10.1145/1842993.1843062
,Interactive tabletops with non-interactive rims,2010,Scopus,Study evaluating digital tabletop techniques,Accepted,Embedded,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,,46”,10.1145/1952222.1952285
,File System Access for Tabletop Interaction,2010,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Pen,Tangibility,Colaboração presencial,Mimio Whiteboard,,10.1007/978-1-84996-113-4_14
,The MusicPatterns,2010,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Colaboração presencial,,,10.1109/ICEIT.2010.5608432
,Task Performance vs. Learning Outcomes: A Study of a Tangible User Interface in the Classroom,2010,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,TinkerLamp,,10.1007/978-3-642-16020-2_6
,Pac-pac: pinching gesture recognition for tabletop entertainment system,2010,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,Vision-Based,Gesture,Colaboração presencial,,46”,10.1145/1842993.1843040
,Tangible jukebox: back to palpable music,2010,ACM Digital Library,Study describing digital tabletop techniques,Accepted,Rear-Projected,"Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,,,10.1145/1709886.1709922
,Supporting sandtray therapy on an interactive tabletop,2010,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,Electrical-Based,Multi-touch,Colaboração presencial,SMART Table,,10.1145/1753326.1753651
,Interaction on the Tabletop: Bringing the Physical to the Digital,2010,Springer Link,Study evaluating digital tabletop techniques,Accepted,Rear-Projected,Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,SMART Board,,10.1007/978-1-84996-113-4_9
,Future Dining Table: Dish Recommendation Based on Dining Activity Recognition,2010,Springer Link,Study describing digital tabletop techniques,Accepted,Rear-Projected,"Tangible-Tokens, Vision-Based",Tangibility,Usuário único,,,10.1007/978-3-642-15231-3_5
,A system to recommend dishes by the real time recognition of dining activity,2010,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,Rear-Projected,"Tangible-Tokens, Vision-Based",Tangibility,Usuário único,,,10.1109/ICSMC.2010.5641941
,An exploratory study of co-located collaborative visual analytics around a tabletop display,2010,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”,10.1109/VAST.2010.5652880
,The reactable: tangible and tabletop music performance,2010,ACM Digital Library,Study describing digital tabletop techniques,Accepted,Rear-Projected,"Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,reacTable,,10.1145/1753846.1753903
,Solar scramble: An educational children's game for collaborative multi-touch digital tabletops,2010,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,Electrical-Based,Multi-touch,Colaboração presencial,SMART Table,,10.1145/1878450.1878455
,Digital mysteries: designing for learning at the tabletop,2010,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Pen,Tangibility,Colaboração presencial,Promethean Activboard,,10.1145/1936652.1936689
,A Steerable Tangible Interface and Its Evaluation,2010,Springer Link,Study describing digital tabletop techniques,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,u-Table,59”,10.1007/978-3-642-16355-5_13
,Hugin: A framework for awareness and coordination in mixed-presence collaborative information visualization,2010,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch","Colaboração presencial, Colaboração remota",,,10.1145/1936652.1936694
,A Multi-Agent System Approach for Interactive Table Using RFID,2010,Springer Link,Study describing digital tabletop techniques,Accepted,Rear-Projected,Sensor-Assisted-Vision-Based,"Multi-touch, Tangibility, Touch",Colaboração presencial,TTT (Tangible Tracking Table),,10.1007/978-3-642-12384-9_16
,Let the experts talk: An experience of tangible game design with children,2010,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,NIKVision,,10.1145/1649475.1649490
,What caused that touch? expressive interaction with a surface through fiduciary-tagged gloves,2010,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based, Wearables","Multi-touch, Touch",Colaboração presencial,Microsoft Surface + Wearables,30”,10.1145/1936652.1936680
,Paper-top interface for supporting note-taking and its preliminary experiment,2010,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,Front-Projected,"Tangible-Tokens, Vision-Based",Tangibility,Usuário único,,,10.1109/ICSMC.2010.5642448
,Venice unfolding: A tangible user interface for exploring faceted data in a geographical context,2010,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,,,10.1145/1868914.1869019
,It's just a toolbar! using tangibles to help children manage conflict around a multi-touch tabletop,2010,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”,10.1145/1935701.1935709
,Interfering and resolving: How tabletop interaction facilitates co-construction of argumentative knowledge,2010,Springer Link,Study describing digital tabletop techniques,Accepted,Rear-Projected,"Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,reacTable,,10.1007/s11412-010-9101-9
,Tangible anchoring: Grasping news and public opinion,2010,Scopus,Study describing digital tabletop techniques,Accepted,Rear-Projected,"Pen, Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,,,10.1145/1971630.1971653
,Haptic u-Table: A Believable Feedback System with a Quasi-tangible Tabletop Interface,2010,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,u-Table,59”,10.1109/UIC-ATC.2010.21
,EGrid: supporting the control room operation of a utility company with multi-touch tables,2010,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”,10.1145/1936652.1936720
,G-nome surfer: a tabletop interface for collaborative exploration of genomic data,2010,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”,10.1145/1753326.1753539
,"RoboJockey: real-time, simultaneous, and continuous creation of robot actions for everyone",2010,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,"Pen, Electrical-Based","Multi-touch, Touch",Colaboração presencial,LCD-AD221FB-T by IO Data,"21.5""",10.1145/1971630.1971646
,Raptor: sketching games with a tabletop computer,2010,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”,10.1145/1920778.1920805
,Alerting Accidents with Ambiguity: A Tangible Tabletop Application for Safe and Independent Chemistry Experiments,2010,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,"Tangible-Tokens, Vision-Based",Tangibility,Usuário único,,,10.1007/978-3-642-16355-5_14
,A-CUBE: A Tangible Tabletop Application to Support Safe and Independent Chemistry Experiments,2010,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,Front-Projected,"Tangible-Tokens, Vision-Based",Tangibility,Usuário único,,,10.1109/UIC-ATC.2010.120
,Touching the depths: introducing tabletop interaction to reservoir engineering,2010,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”,10.1145/1936652.1936671
,"Move, Beam, and Check! Imagineering Tangible Optical Chess on An Interactive Tabletop Display",2010,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,Sensor-Assisted-Vision-Based,"Multi-touch, Tangibility, Touch",Colaboração presencial,TTT (Tangible Tracking Table),,10.1145/1902593.1902599
,Tangible navigation and object manipulation in virtual environments,2010,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,Vision-Based,"Multi-touch, Tangibility, Touch",Colaboração presencial,,50”,10.1145/1935701.1935710
,TOUCHtr4ck: democratic collaborative music,2010,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Colaboração presencial,,,10.1145/1935701.1935773
,Development of eye-tracking pen display based on stereo bright pupil technique,2010,ACM Digital Library,Study describing digital tabletop techniques,Accepted,Front-Projected,"Pen, Eye-Tracking","Gaze, Tangibility",Usuário único,,,10.1145/1743666.1743707
,Development of eye-tracking tabletop interface for media art works,2010,ACM Digital Library,Study describing digital tabletop techniques,Accepted,Front-Projected,"Pen, Eye-Tracking, Sensor-Assisted-Vision-Based","Gaze, Tangibility",Colaboração presencial,,,10.1145/1936652.1936723
,Various tangible devices suitable for mixed reality interactions,2010,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Gesture, Tangibility",Usuário único,,,10.1109/ISMAR.2010.5643608
,Designing social games for children and older adults: Two related case studies,2010,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,"Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,,,10.1016/j.entcom.2010.09.001
,Search on surfaces: Exploring the potential of interactive tabletops for collaborative search tasks,2010,Science@Direct,Study evaluating digital tabletop techniques,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1016/j.ipm.2009.10.004
,Towards New Human-Machine Systems in contexts involving interactive table and tangible objects,2010,Science@Direct,Study describing digital tabletop techniques,Accepted,Embedded,Tangible-Tokens,Tangibility,Colaboração presencial,TangiSense,42.5”,10.3182/20100831-4-FR-2021.00015
,Analysing Tabletop Based Computer Supported Collaborative Learning Data through Visualization,2011,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Pen,Tangibility,Colaboração presencial,Promethean ActivBoard,,10.1007/978-3-642-25191-7_32
,An interaction on a flat panel display using a planar 1-DOF electrostatic actuator,2011,ACM Digital Library,Study describing digital tabletop techniques,Accepted,Embedded,Tangible-Tokens,Tangibility,Usuário único,,,10.1145/2076354.2076404
,Balancing Act: Enabling Public Engagement with Sustainability Issues through a Multi-touch Tabletop Collaborative Game,2011,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,EventTable + Multi-touch,,10.1007/978-3-642-23771-3_16
,Towards Utopia: designing tangibles for learning,2011,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,"Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,,,10.1145/1999030.1999032
,"Lessons learned from the WILD room, a multisurface interactive environment",2011,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Colaboração presencial,IntuiFace multitouch,45”,10.1145/2044354.2044376
,Hand gesture interaction using color-based method for tabletop interfaces,2011,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,Front-Projected,Vision-Based,"Gesture, Touch",Usuário único,,,10.1109/WISP.2011.6051717
,Interactive multi-user video retrieval systems,2011,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,,,10.1007/s11042-011-0888-9
,Hyperinteractive Evolutionary Computation,2011,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,Asus Eee Top,,10.1109/TEVC.2010.2096539
,AGORAS: Exploring Creative Learning on Tangible User Interfaces,2011,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,,,10.1109/COMPSAC.2011.50
,"RealTimeChess: lessons from a participatory design process for a collaborative multi-touch, multi-user game",2011,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/2076354.2076374
,Mojo iCuisine: The Design and Implementation of an Interactive Restaurant Tabletop Menu,2011,Springer Link,Study describing digital tabletop techniques,Accepted,Front-Projected,Electrical-Based,Touch,Colaboração presencial,,,10.1007/978-3-642-21616-9_21
,Firestorm: a brainstorming application for collaborative group work at tabletops,2011,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,,46”,10.1145/2076354.2076386
,Supporting air traffic control collaboration with a TableTop system,2011,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1958824.1958891
,Research on the tangible tabletop interaction system based on the optical sensors,2011,Scopus,Study describing digital tabletop techniques,Accepted,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Tangibility, Touch",Colaboração presencial,,,10.1117/12.904760
,Dimensions of collaboration on a tabletop interface for children with autism spectrum disorder,2011,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1978942.1979431
,The effects of interaction techniques on talk patterns in collaborative peer learning around interactive tables,2011,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,Rear-Projected,Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Colaboração presencial,,56.5”,10.1145/1978942.1979393
,Adaptive personal territories for co-located tabletop interaction in a museum setting,2011,ACM Digital Library,Study describing digital tabletop techniques,Accepted,Embedded,Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Colaboração presencial,,"65""",10.1145/2076354.2076375
,ZeroN: mid-air tangible interaction enabled by computer controlled magnetic levitation,2011,ACM Digital Library,Study describing digital tabletop techniques,Accepted,"Rear-Projected, Front-Projected","Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Gesture, Tangibility",Colaboração presencial,,,10.1145/2047196.2047239
,"uMeeting, an Efficient Co-located Meeting System on the Large-Scale Tabletop",2011,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Colaboração presencial,uTable,169”,10.1007/978-3-642-21619-0_46
,Rethinking 'Multi-user': An in-the-wild study of how groups approach a walk-up-and-use tabletop interface,2011,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”,10.1145/1978942.1979392
,The design of t-vote: a tangible tabletop application supporting children's decision making,2011,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,Electrical-Based,Multi-touch,Colaboração presencial,,,10.1145/1999030.1999056
,"""Dinner Party"" sociable interfaces in a tabletop art project",2011,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based",Tangibility,Usuário único,,,10.1145/1963564.1963617
,The music pattern: A creative tabletop music creation platform,2011,ACM Digital Library,Study describing digital tabletop techniques,Accepted,Rear-Projected,Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Colaboração presencial,,,10.1145/1899687.1899695
,Subject-Oriented Elicitation of Distributed Business Process Knowledge,2011,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,,,10.1007/978-3-642-23471-2_2
