title,ano,source,selection_criteria,status,comments,Tecnologia do display,Tecnologia do input,Tipo de interação,Suporte à colaboração,Usa modelo com nome?,Tamanho da mesa,doi
Touching dante: a proximity-based paradigm for tabletop browsing,2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Tangible-Tokens, Sensor-Assisted-Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”,10.1145/2499149.2499172
Touching the depths: introducing tabletop interaction to reservoir engineering,2010,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”,10.1145/1936652.1936671
TOUCHtr4ck: democratic collaborative music,2010,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Colaboração presencial,,,10.1145/1935701.1935773
Toward emotional interactive videogames for children with autism spectrum disorder,2020,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,NIKVision,,10.1007/s10209-020-00725-8
Toward understanding the importance of gesture in distributed scientific collaboration,2007,Springer Link,Study evaluating digital tabletop techniques,Accepted,,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1007/s10115-006-0062-2
Toward Universal Tangible Objects: Optimizing Haptic Pinching Sensations in 3D Interaction,2019,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,,Headset,Tangible-Tokens,Tangibility,Usuário único,,,10.1109/VR.2019.8798205
Towards a framework for geospatial tangible user interfaces in collaborative urban planning,2018,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,,58”,10.1007/s10109-018-0265-6
Towards a Mixed-Reality Interface for Mind-Mapping,2017,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Front-Projected,Tangible-Tokens,Tangibility,Colaboração presencial,,,10.1145/3132272.3132275
Towards fast multi-point force and hit detection in tabletops using mechanically intercoupled force sensing resistors,2012,Scopus,Study describing digital tabletop techniques,Accepted,,Rear-Projected,"Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,reacTable,,
Towards Geospatial Tangible User Interfaces: An Observational User Study Exploring Geospatial Interactions of the Novice,2016,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,,58”,10.1007/978-3-319-29589-3_7
Towards Multimodal 3D Tabletop Interaction Using Sensor Equipped Mobile Devices,2013,Springer Link,Study describing digital tabletop techniques,Accepted,,"Multi-Device, Rear-Projected","Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,,,10.1007/978-3-642-36632-1_6
Towards New Human-Machine Systems in contexts involving interactive table and tangible objects,2010,Science@Direct,Study describing digital tabletop techniques,Accepted,,Embedded,Tangible-Tokens,Tangibility,Colaboração presencial,TangiSense,42.5”,https://doi.org/10.3182/20100831-4-FR-2021.00015
Towards Utopia: designing tangibles for learning,2011,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,,,10.1145/1999030.1999032
Trackable Interactive Multimodal Manipulatives: Towards a Tangible User Environment for the Blind,2012,Springer Link,Study describing digital tabletop techniques,Accepted,,,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Usuário único,Z USA FEEDBACK POR SOM,,10.1007/978-3-642-31534-3_97
Trains of thought on the tabletop: visualizing association of ideas improves creativity,2013,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,DiamondTouch,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1007/s00779-013-0726-3
Trajectories of Physical Engagement and Expression in a Co-Creative Museum Installation,2019,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,Tangible-Tokens,Tangibility,Colaboração presencial,TuneTable,,10.1145/3325480.3325505
Transforming Lives Through Story Immersion: Innovation of Aphasia Rehabilitation Therapy through Storytelling Learning Landscapes,2014,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Headset,Tangible-Tokens,Tangibility,Usuário único,,,10.1145/2660579.2660590
Transparent electrostatic actuator with mesh-structured electrodes for driving tangible icon in tabletop interface,2014,Scopus,Study describing digital tabletop techniques,Accepted,,Embedded,"Tangible-Tokens, Vision-Based",Tangibility,Usuário único,,,
Transparent tabletop interface for multiple users on Lumisight Table,2006,Scopus,Study describing digital tabletop techniques,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Gesture, Tangibility",Colaboração presencial,,,10.1109/TABLETOP.2006.34
Travel Agency Desk Support System Using Interest Degree,2015,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1109/AINA.2015.283
Truesight Battle Grid - Enhancing the Game Experience of Tabletop Role-Playing through Tangible Data Visualization,2020,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,Tangible-Tokens,Tangibility,Colaboração presencial,,,10.1145/3383668.3419931
TryFilm: Situated Support for Interactive Media Productions,2016,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Embedded,"Tangible-Tokens, Sensor-Assisted-Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”,10.1145/2818048.2819929
Turning the tables: an interactive surface for vjing,2009,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Colaboração presencial,,,10.1145/1518701.1518888
TViews: An Extensible Architecture for Multiuser Digital Media Tables,2006,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,TViews,,10.1109/MCG.2006.117
u-Table: A Tabletop Interface for Multiple Users,2006,Springer Link,Study describing digital tabletop techniques,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,u-Table,59”,10.1007/11751540_107
UbiTable: Impromptu face-to-face collaboration on horizontal interactive surfaces,2003,Scopus,Study describing digital tabletop techniques,Accepted,,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1007/978-3-540-39653-6_22
UD Co-Spaces: A Table-Centred Multi-Display Environment for Public Engagement in Urban Design Charrettes,2016,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Colaboração presencial,SMART Technology Digital Vision Touch (DViT) tabletop,28”,10.1145/2992154.2992163
"uMeeting, an Efficient Co-located Meeting System on the Large-Scale Tabletop",2011,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Colaboração presencial,uTable,169”,10.1007/978-3-642-21619-0_46
Under My Finger: Human Factors in Pushing and Rotating Documents Across the Table,2005,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1007/11555261_88
Understanding Collaborative Decision Making Around a Large-Scale Interactive Tabletop,2017,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Embedded,"Pen, Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,MultiTaction Cell Ultra-Thin Bezel (MT553UTB) x4,120”,10.1145/3134745
Understanding designer brainstorms: the effect of analog and digital interfaces on dominance,2012,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/2212776.2223659
Understanding file access mechanisms for embedded Ubicomp collaboration interfaces,2009,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Colaboração presencial,,46”,10.1145/1620545.1620567
Understanding flicking on curved surfaces,2012,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Usuário único,BendDesk,42”,10.1145/2207676.2207703
Understanding the Attention Demand of Touch and Tangible Interaction on a Composite Task,2019,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,,Embedded,Tangible-Tokens,Tangibility,Colaboração presencial,TangiSense 2,42.5”,10.1145/3340555.3353723
Uplift: A Tangible and Immersive Tabletop System for Casual Collaborative Visual Analytics,2021,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,"Embedded, Headset","Eye-Tracking, Tangible-Tokens, Electrical-Based, Vision-Based, Wearables","Gaze, Gesture, Multi-touch, Tangibility, Touch",Colaboração presencial,,"46""",10.1109/TVCG.2020.3030334
Usability of technology supported social competence training for children on the Autism Spectrum,2011,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,DiamondTouch,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1109/ICVR.2011.5971867
Usage of Interactive Event Timelines in Collaborative Digital Tabletops Involving Automation,2016,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,,,10.1007/978-3-319-45853-3_10
Using a tangible interactive tabletop to learn at school: empirical studies in the wild,2016,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,Tangible-Tokens,Tangibility,Colaboração presencial,TangiSense 2,42.5”,10.1145/3004107.3004120
Using digital board games for genuine communication in EFL classrooms,2014,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,SMART Board,,10.1007/s11423-013-9329-y
Using Digital Tabletops to Support Distributed Agile Planning Meetings,2009,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,SMART Board,,10.1007/978-3-642-01853-4_59
"uTable: a seamlessly tiled, very large interactive tabletop system",2011,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Colaboração presencial,uTable,169”,10.1145/2076354.2076397
Utilizing Digital Tabletops in Collocated Agile Planning Meetings,2008,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Pen, Sound-Based, Sensor-Assisted-Vision-Based","Speech, Touch",Colaboração presencial,,,10.1109/Agile.2008.13
Utilizing Smartphones as a Multi-Device Single Display Groupware to Design Collaborative Games,2017,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Multi-Device,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,,,10.1145/3064663.3064716
Various tangible devices suitable for mixed reality interactions,2010,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Gesture, Tangibility",Usuário único,,,10.1109/ISMAR.2010.5643608
Venice unfolding: A tangible user interface for exploring faceted data in a geographical context,2010,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,,,10.1145/1868914.1869019
"Villains, architects and micro-managers: what tabula rasa teaches us about game orchestration",2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,Electrical-Based,Multi-touch,Colaboração presencial,,46”,10.1145/2470654.2470754
Vision-Based Projected Tabletop Interface for Finger Interactions,2007,Springer Link,Study describing digital tabletop techniques,Accepted,,Front-Projected,Vision-Based,Touch,Usuário único,,,10.1007/978-3-540-75773-3_6
Visual Object Interface Signifier of Museum Application for Large Display,2017,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Microsoft SUR40 tabletop,Embedded,"Tangible-Tokens, Sensor-Assisted-Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”,10.1007/978-3-319-70010-6_54
Visualization and User-Modeling for Browsing Personal Photo Libraries,2004,Springer Link,Study describing digital tabletop techniques,Accepted,,Front-Projected,Pen,Tangibility,Colaboração presencial,,,10.1023/b:visi.0000004834.62090.74
Visualization techniques for circular tabletop interfaces,2002,Scopus,Study describing digital tabletop techniques,Accepted,,Front-Projected,"Pen, Sound-Based",Tangibility,Colaboração presencial,,,10.1145/1556262.1556305
Weathergods: tangible interaction in a digital tabletop game,2007,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Tangible-Tokens, Electrical-Based","Tangibility, Touch",Colaboração presencial,,,10.1145/1226969.1227000
WebSurface: an interface for co-located collaborative information gathering,2009,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Pen,Tangibility,Colaboração presencial,,48”,10.1145/1731903.1731938
What caused that touch? expressive interaction with a surface through fiduciary-tagged gloves,2010,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Microsoft surface,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based, Wearables","Multi-touch, Touch",Colaboração presencial,Microsoft Surface + Wearables,30”,10.1145/1936652.1936680
When the fingers do the talking: A study of group participation with varying constraints to a tabletop interface,2008,IEEE Digital Library,Study evaluating digital tabletop techniques,Accepted,,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1109/TABLETOP.2008.4660181
"Working Attention, Planning and Social Skills Through Pervasive Games in Interactive Spaces",2022,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,NIKVision,,10.1109/TLT.2022.3155993
Xylocode: A Novel Approach to Fostering Interest in Computer Science via an Embodied Music Simulation,2024,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Tangible-Tokens, Electrical-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Ideum (Model Ommited),,10.1145/3613904.3642098
"Youtopia: a collaborative, tangible, multi-touch, sustainability learning activity",2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Tangible-Tokens, Sensor-Assisted-Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”,10.1145/2485760.2485866
ZeroN: mid-air tangible interaction enabled by computer controlled magnetic levitation,2011,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,"Rear-Projected, Front-Projected","Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Gesture, Tangibility",Colaboração presencial,,,10.1145/2047196.2047239
A 3D Flexible and Tangible Magic Lens in Augmented Reality,2007,ACM Digital Library,,Duplicated,,,,,,,,
A collaborative design coordination framework based on an interaction analysis around a digital tabletop,2014,Scopus,Duplicate papers,Duplicated,,,,,,,,
A set of customizable games supporting therapy of children with cerebral palsy,2011,Scopus,,Duplicated,,,,,,,,
A slim and large tabletop interface,2015,Scopus,Duplicate papers,Duplicated,,,,,,,,
A slim and wide multi-touch tabletop interface and its applications,2014,IEEE Digital Library,,Duplicated,,Embedded,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,,,
A slim hybrid multi-touch tabletop interface with a high definition LED display and multiple cameras,2012,IEEE Digital Library,,Duplicated,,Embedded,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,,"47""",
A slim tabletop interface based on high resolution LCD screens with multiple cameras,2010,ACM Digital Library,,Duplicated,,Embedded,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,,,
A tangible tabletop game supporting therapy of children with cerebral palsy,2008,Scopus,,Duplicated,,,,,,,,
A-CUBE: A tangible tabletop application to support safe and independent chemistry experiments,2010,Scopus,,Duplicated,,,,,,,,
Actions speak loudly with words: unpacking collaboration around the table,2009,ACM Digital Library,,Duplicated,,,,,,,,
AGORAS: Exploring creative learning on tangible user interfaces,2011,Scopus,,Duplicated,,,,,,,,
Alerting accidents with ambiguity: A tangible tabletop application for safe and independent chemistry experiments,2010,Scopus,,Duplicated,,,,,,,,
An asymmetric collaborative system for architectural-scale space design,2018,Scopus,,Duplicated,,Embedded,Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Colaboração presencial,Flatfrog Multitouch 3200,"32""",
An environment for collaborative iteration planning,2005,IEEE Digital Library,,Duplicated,,Front-Projected,"Sensor-Assisted-Vision-Based, Vision-Based",Touch,Colaboração presencial,,,
An exploratory study of co-located collaborative visual analytics around a tabletop display,2010,IEEE Digital Library,,Duplicated,,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”,
An immersive surface for 3D interactions,2012,Scopus,,Duplicated,,,,,,,,
An interaction on a flat panel display using a planar 1-DOF electrostatic actuator,2011,Scopus,,Duplicated,,Embedded,Tangible-Tokens,Tangibility,Usuário único,,,
Analysis of natural gestures for controlling robot teams on multi-touch tabletop surfaces,2009,Scopus,,Duplicated,,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,
APDT: An agile planning tool for digital tabletops,2008,Scopus,,Duplicated,,,,,,,,
AR Tabletop Interface using a Head-Mounted Projector,2016,IEEE Digital Library,,Duplicated,,Front-Projected,"Sensor-Assisted-Vision-Based, Vision-Based",Touch,Usuário único,,,
AR tabletop interface using an optical see-through HMD,2016,Scopus,,Duplicated,,,,,,,,
Architales: physical/digital co-design of an interactive story table,2009,ACM Digital Library,,Duplicated,,,,,,,,
Around-device interactions: A usability study of frame markers in acquisition tasks,2015,Scopus,,Duplicated,,,,,,,,
Arrange-a-space: Tabletop interfaces and gender collaboration,2011,Scopus,,Duplicated,,,,,,,,
Assessment of Collaborative Problem Solving Using Linear Equations on a Tangible Tabletop,2014,Scopus,,Duplicated,,,,,,,,
Balancing act: Enabling public engagement with sustainability issues through a multi-touch tabletop collaborative game,2011,Scopus,,Duplicated,,,,,,,,
Bridging the cross-cultural language divide through design,2018,Scopus,,Duplicated,,Embedded,"Sound-Based, Electrical-Based","Multi-touch, Speech, Touch",Colaboração presencial,,,
Co-located collaborative visual analytics around a tabletop display,2012,Scopus,,Duplicated,,,,,,,,
Collaborative business process modeling in multi-surface environments,2017,Scopus,,Duplicated,,,,,,,,
Collaborative coupling over tabletop displays,2006,Scopus,,Duplicated,,Front-Projected,"Pen, Sensor-Assisted-Vision-Based","Tangibility, Touch",Colaboração presencial,,,
Collaborative Environments for Augmented and Virtual Reality Applications,2024,Springer Link,,Duplicated,,,,,,,,
Collaborative problem solving with objects: Physical aspects of a tangible tabletop in technology-based assessment,2012,Scopus,,Duplicated,,,,,,,,
Collaborative puzzle game: Fostering collaboration in children with Autistic Spectrum Disorder (ASD) and with typical development,2009,Scopus,,Duplicated,,,,,,,,
"Collaborative sensemaking on a digital tabletop and personal tablets: prioritization, comparisons, and tableaux",2013,ACM Digital Library,,Duplicated,,,,,,,,
Collaborative visualization of simulated processes using tabletop fiducial augmented reality,2011,ACM Digital Library,,Duplicated,,,,,,,,
Combinatorix: a tangible user interface that supports collaborative learning of probabilities,2012,ACM Digital Library,,Duplicated,,,,,,,,
Communicative behaviors and flow experience in tabletop gaming,2009,ACM Digital Library,,Duplicated,,Rear-Projected,Pen,Tangibility,Colaboração presencial,,55”,
Computer Music Languages and Systems: The Synergy Between Technology and Creativity,2016,Springer Link,,Duplicated,,,,,,,,
Creating the spectacle: Designing interactional trajectories through spectator interfaces,2011,Scopus,,Duplicated,,,,,,,,
CRISTAL: a collaborative home media and device controller based on a multi-touch display,2009,ACM Digital Library,,Duplicated,,,,,,,,
Depth-sensing video cameras for 3D tangible tabletop interaction,2007,Scopus,,Duplicated,,,,,,,,
Design and evaluation of graphical feedback on tangible interactions in a low-resolution edge display,2019,ACM Digital Library,,Duplicated,,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,MultiTaction MT550,"55""",
Designing and making a tangible tabletop game with ToyVision,2013,Scopus,,Duplicated,,,,,,,,
Designing cultural values into interaction,2017,Scopus,,Duplicated,,,,,,,,
Development of communication support system at mealtimes using tabletop interface,2013,Scopus,,Duplicated,,,,,,,,
DiamondSpin: an extensible toolkit for around-the-table interaction,2004,ACM Digital Library,,Duplicated,,,,,,,,
Doing community: co-construction of meaning and use with interactive information kiosks,2006,ACM Digital Library,,Duplicated,,,,,,,,
"Dollhouse VR: a multi-view, multi-user collaborative design workspace with VR technology",2015,ACM Digital Library,,Duplicated,,,,,,,,
"Dollhouse VR: a multi-view, multi-user collaborative design workspace with VR technology",2015,ACM Digital Library,,Duplicated,,,,,,,,
Dual Reality for Production Verification Workshops: A Comprehensive Set of Virtual Methods,2016,Scopus,,Duplicated,,Embedded,"Tangible-Tokens, Sensor-Assisted-Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”,
Dynamic tangible user interface palettes,2013,Scopus,,Duplicated,,,,,,,,
E-CORE (Embodied COgnitive REhabilitation): A cognitive rehabilitation system using tangible tabletop interface,2013,Scopus,,Duplicated,,,,,,,,
Effects of viewing conditions and rotation methods in a collaborative tabletop AR environment,2010,IEEE Digital Library,,Duplicated,,,,,,,,
Empowering soft skills in children with ADHD through the co-creation of tangible tabletop games,2023,Springer Link,,Duplicated,,,,,,,,
Enabling tangible interaction on capacitive touch panels,2010,Scopus,,Duplicated,,,,,,,,
Engaging families around museum exhibits: comparing tangible and multi-touch interfaces,2020,ACM Digital Library,,Duplicated,,,,,,,,
Evaluating digital tabletop collaborative writing in the classroom,2015,Scopus,,Duplicated,,,,,,,,
Evaluating TEI,2022,ACM Digital Library,Duplicate papers,Duplicated,,,,,,,,
Evaluating the effects of fluid interface components on tabletop collaboration,2006,Scopus,,Duplicated,,Front-Projected,Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,,72”,
Experiences with building a thin form-factor touch and tangible tabletop,2008,Scopus,,Duplicated,,Embedded,Sensor-Assisted-Vision-Based,"Multi-touch, Tangibility, Touch",Usuário único,ThinSight,,
Exploring automation in digital tabletop board game,2012,Scopus,,Duplicated,,,,,,,,
Exploring tabletop file system interaction,2007,Scopus,,Duplicated,,Front-Projected,"Pen, Sensor-Assisted-Vision-Based","Gesture, Tangibility",Colaboração presencial,,,
Exploring the effects of group size and table size on interactions with tabletop shared-display groupware,2004,Scopus,,Duplicated,,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,
Exploring the layered use of transparent display on a large tabletop display,2016,Scopus,,Duplicated,,,,,,,,
Eye-tracking volume simulation method to configure hardware settings for tangible and multi-user tabletop interaction,2013,ACM Digital Library,,Duplicated,,Front-Projected,"Eye-Tracking, Vision-Based",Gaze,Colaboração presencial,,,
FeelSound: collaborative composing of acoustic music,2009,ACM Digital Library,Duplicate papers,Duplicated,,,,,,,,
Games and simulations in industrial engineering education: a review of the cognitive and affective learning outcomes,2018,ACM Digital Library,,Duplicated,,,,,,,,
Gesture-based interactions on multiple large displays with a tabletop interface,2007,Scopus,,Duplicated,,,,,,,,
"Gestures as a ""creation"" mechanism for tabletop interfaces",2010,Scopus,,Duplicated,,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”,
Getting sidetracked: display design and occasioning photo-talk with the photohelix,2009,ACM Digital Library,,Duplicated,,,,,,,,
Hugin: a framework for awareness and coordination in mixed-presence collaborative information visualization,2010,ACM Digital Library,,Duplicated,,,,,,,,
Human Touch in Digital Experiences,2016,Scopus,,Duplicated,,,,,,,,
Improved background removal through polarisation in vision-based tabletop interface,2007,Scopus,,Duplicated,,,,,,,,
Improving awareness of automated actions using an interactive event timeline,2013,ACM Digital Library,,Duplicated,,,,,,,,
Improving awareness of automated actions within digital tabletops,2012,Scopus,,Duplicated,,,,,,,,
Improving menu interaction for cluttered tabletop setups with user-drawn path menus,2007,Scopus,,Duplicated,,,,,,,,
In-situ occlusion resolution for hybrid tabletop environments,2015,Scopus,,Duplicated,,,,,,,,
Instruction Pictograms for Interactive Entertainment,2021,Springer Link,Duplicate papers,Duplicated,,,,,,,,
Integrating point and touch for interaction with digital tabletop displays,2006,Scopus,,Duplicated,,,,,,,,
Interaction patterns for assessment of learners in tabletop based collaborative learning environment,2013,Scopus,,Duplicated,,,,,,,,
Interactive tabletops with non-interactive rims,2010,ACM Digital Library,,Duplicated,,Embedded,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,,46”,
Investigating menu discoverability on a digital tabletop in a public setting,2012,Scopus,,Duplicated,,Embedded,Electrical-Based,Multi-touch,Colaboração presencial,SMART Table,28”,
JDLED: Towards visio-tactile displays based on electrochemical locomotion of liquid-metal Janus droplets,2017,Scopus,,Duplicated,,,,,,,,
Let's jam the reactable: Peer learning during musical improvisation with a tabletop tangible interface,2013,Scopus,,Duplicated,,Rear-Projected,"Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,reacTable,,
Light on horizontal interactive surfaces: Input space for tabletop computing,2014,ACM Digital Library,,Duplicated,,,,,,,,
Localisation and interaction for augmented maps,2005,IEEE Digital Library,,Duplicated,,,,,,,,
Mapping place: Supporting cultural learning through a Lukasa-inspired tangible tabletop museum exhibit,2015,Scopus,,Duplicated,,,,,,,,
Material interactions with tangible tabletops: a pragmatist perspective,2014,ACM Digital Library,,Duplicated,,,,,,,,
Media crate: Tangible live media production interface,2009,Scopus,,Duplicated,,,,,,,,
MisTable: reach-through personal screens for tabletops,2014,ACM Digital Library,,Duplicated,,,,,,,,
Mobitop: Interactions employed by users when using a collocated ad-hoc collaboration application,2015,Scopus,Duplicate papers,Duplicated,,,,,,,,
Modelling symmetry of activity as an indicator of collocated group collaboration,2011,ACM Digital Library,,Duplicated,,,,,,,,
Multitouch tabletop technology for people with autism spectrum disorder: A review of the literature,2012,Scopus,,Duplicated,,,,,,,,
Natural Interaction,2016,Springer Link,,Duplicated,,,,,,,,
Natural Interaction,2018,Springer Link,,Duplicated,,,,,,,,
New human-computer interactions using tangible objects: Application on a digital tabletop with RFID technology,2009,Scopus,,Duplicated,,,,,,,,
ObjecTop: occlusion awareness of physical objects on interactive tabletops,2013,ACM Digital Library,,Duplicated,,,,,,,,
Paths Forward: Aspirations for TEI,2022,ACM Digital Library,Duplicate papers,Duplicated,,,,,,,,
PeriTop: extending back-projected tabletops with top-projected peripheral displays,2013,ACM Digital Library,,Duplicated,,,,,,,,
Permulin: personal in- and output on interactive surfaces,2013,ACM Digital Library,Duplicate papers,Duplicated,,,,,,,,
Physical interfaces for tabletop games,2010,ACM Digital Library,Duplicate papers,Duplicated,,,,,,,,
